,filename,width,height,class,xmin,ymin,xmax,ymax
0,autosave01_02_2012_09_40_27.jpg,1280,720,0,813,346,853,386
1,autosave01_02_2012_09_40_27.jpg,1280,720,0,814,387,860,404
2,autosave01_02_2012_09_48_28.jpg,1280,720,0,471,388,494,411
3,autosave01_02_2012_09_50_11.jpg,1280,720,0,767,374,804,394
4,autosave01_02_2012_09_50_11.jpg,1280,720,0,873,348,908,381
5,autosave01_02_2012_09_50_59.jpg,1280,720,0,1150,188,1234,267
6,autosave01_02_2012_09_50_59.jpg,1280,720,0,1167,306,1231,363
7,autosave01_02_2012_09_50_59.jpg,1280,720,0,1151,268,1249,303
8,autosave01_02_2012_09_51_46.jpg,1280,720,0,911,300,964,352
9,autosave01_02_2012_09_48_17.jpg,1280,720,0,348,346,392,392
10,autosave01_02_2012_09_50_48.jpg,1280,720,0,1080,205,1148,271
11,autosave01_02_2012_09_50_48.jpg,1280,720,0,1092,309,1150,361
12,autosave01_02_2012_09_50_48.jpg,1280,720,0,1078,275,1158,305
13,autosave01_02_2012_09_50_22.jpg,1280,720,0,778,343,805,370
14,autosave01_02_2012_09_50_22.jpg,1280,720,0,784,384,804,403
15,autosave01_02_2012_09_49_03.jpg,1280,720,0,1045,285,1074,321
16,autosave01_02_2012_09_49_03.jpg,1280,720,0,1051,324,1077,359
17,autosave01_02_2012_09_48_52.jpg,1280,720,0,770,362,793,385
18,autosave01_02_2012_09_50_36.jpg,1280,720,0,1080,205,1148,271
19,autosave01_02_2012_09_50_36.jpg,1280,720,0,1078,275,1158,305
20,autosave01_02_2012_09_47_35.jpg,1280,720,0,939,344,1010,378
21,autosave01_02_2012_09_51_31.jpg,1280,720,0,692,378,730,397
22,autosave01_02_2012_09_50_25.jpg,1280,720,0,880,290,919,328
23,autosave01_02_2012_09_50_25.jpg,1280,720,0,888,350,919,379
24,autosave01_02_2012_09_50_25.jpg,1280,720,0,881,330,926,346
25,autosave01_02_2012_09_50_53.jpg,1280,720,0,1080,205,1148,271
26,autosave01_02_2012_09_50_53.jpg,1280,720,0,1092,309,1150,361
27,autosave01_02_2012_09_50_53.jpg,1280,720,0,1078,275,1158,305
28,autosave01_02_2012_09_48_29.jpg,1280,720,0,219,316,288,387
29,autosave01_02_2012_09_50_14.jpg,1280,720,0,1154,275,1265,336
30,autosave01_02_2012_09_47_20.jpg,1280,720,0,964,316,993,350
31,autosave01_02_2012_09_50_28.jpg,1280,720,0,1000,241,1057,297
32,autosave01_02_2012_09_50_28.jpg,1280,720,0,1010,329,1056,371
33,autosave01_02_2012_09_50_28.jpg,1280,720,0,997,300,1065,325
34,autosave01_02_2012_09_51_39.jpg,1280,720,0,814,355,850,389
35,autosave01_02_2012_09_51_39.jpg,1280,720,0,856,319,912,362
36,autosave01_02_2012_09_51_29.jpg,1280,720,0,800,354,826,390
37,autosave01_02_2012_09_48_53.jpg,1280,720,0,977,287,1025,331
38,autosave01_02_2012_09_48_55.jpg,1280,720,0,903,336,944,370
39,autosave01_02_2012_09_51_32.jpg,1280,720,0,670,389,702,405
40,autosave01_02_2012_09_51_43.jpg,1280,720,0,742,323,760,347
41,autosave01_02_2012_09_50_38.jpg,1280,720,0,1080,205,1148,271
42,autosave01_02_2012_09_50_38.jpg,1280,720,0,1092,309,1150,361
43,autosave01_02_2012_09_50_38.jpg,1280,720,0,1078,275,1158,305
44,autosave01_02_2012_09_47_34.jpg,1280,720,0,797,380,839,402
45,autosave01_02_2012_09_50_34.jpg,1280,720,0,1080,205,1148,271
46,autosave01_02_2012_09_50_34.jpg,1280,720,0,1092,309,1150,361
47,autosave01_02_2012_09_50_34.jpg,1280,720,0,1078,275,1158,305
48,autosave01_02_2012_09_50_42.jpg,1280,720,0,1080,205,1148,271
49,autosave01_02_2012_09_50_42.jpg,1280,720,0,1092,309,1150,361
50,autosave01_02_2012_09_50_42.jpg,1280,720,0,1078,275,1158,305
51,autosave01_02_2012_09_50_52.jpg,1280,720,0,1080,205,1148,271
52,autosave01_02_2012_09_50_52.jpg,1280,720,0,1092,309,1150,361
53,autosave01_02_2012_09_50_52.jpg,1280,720,0,1078,275,1158,305
54,autosave01_02_2012_09_50_37.jpg,1280,720,0,1080,205,1148,271
55,autosave01_02_2012_09_50_37.jpg,1280,720,0,1092,309,1150,361
56,autosave01_02_2012_09_50_37.jpg,1280,720,0,1078,275,1158,305
57,autosave01_02_2012_09_47_25.jpg,1280,720,0,963,327,991,355
58,autosave01_02_2012_09_47_25.jpg,1280,720,0,965,356,992,383
